WC: 18, RC: 94, AC: -80, APC: 0, TC: 68, PopS: 2, subPC: 3, subPL: 2.08, GENC: 5, α: 0.90, β: 0.64, COm: 1, γ: 0.88, δ: 0.66, maxDev: 1.76, speed:2.18, crossed: 0, with: 0

WC: -51, RC: 75, AC: 97, APC: 0, TC: -10, PopS: 2, subPC: 3, subPL: 3.78, GENC: 4, α: 0.96, β: 0.50, COm: 1, γ: 0.14, δ: 0.47, maxDev: 2.40, speed:2.45, crossed: 1, with: 4.49
WC: -94, RC: -21, AC: 71, APC: 33, TC: 2, PopS: 3, subPC: 4, subPL: 1.57, GENC: 4, α: 0.54, β: 0.30, COm: 1, γ: 0.23, δ: 0.19, maxDev: 1.86, speed:1.76, crossed: 0, with: 0

WC: -51, RC: 75, AC: 97, APC: 0, TC: -10, PopS: 2, subPC: 3, subPL: 3.78, GENC: 4, α: 0.96, β: 0.50, COm: 1, γ: 0.14, δ: 0.47, maxDev: 2.40, speed:2.45, crossed: 1, with: 3.6
WC: -94, RC: -21, AC: 71, APC: 33, TC: 2, PopS: 3, subPC: 4, subPL: 1.57, GENC: 4, α: 0.54, β: 0.30, COm: 1, γ: 0.23, δ: 0.19, maxDev: 1.86, speed:1.76, crossed: 0, with: 0

WC: 5, RC: 72, AC: -22, APC: -19, TC: 88, PopS: 8, subPC: 4, subPL: 3.56, GENC: 9, α: 0.96, β: 0.61, COm: 1, γ: 0.37, δ: 0.90, maxDev: 1.63, speed:2.55, crossed: 1, with: 3.5
WC: -58, RC: -46, AC: 9, APC: 22, TC: -72, PopS: 2, subPC: 2, subPL: 1.74, GENC: 9, α: 0.31, β: 0.29, COm: 1, γ: 0.98, δ: 0.94, maxDev: 1.82, speed:2.51, crossed: 0, with: 0
